pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
SMBDL,RIGL,SMB,RIG,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIGL,SMBDL,SMB,RIG,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBDL,AVKL,SMB,AVK,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKL,SMBDL,SMB,AVK,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,0,1,0,0
SMBDL,SIADL,SMB,SIA,Sublateral,Sublateral,3,3,2,3,0,0,0,0,0,0,0,1,2
SIADL,SMBDL,SMB,SIA,Sublateral,Sublateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMBDL,SIAVL,SMB,SIA,Sublateral,Sublateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SIAVL,SMBDL,SMB,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBDL,SIBDL,SMB,SIB,Sublateral,Sublateral,3,3,1,2,0,0,1,0,1,0,0,0,0
SIBDL,SMBDL,SMB,SIB,Sublateral,Sublateral,3,3,1,1,0,0,0,0,0,0,1,0,0
SMBDL,AIBR,SMB,AIB,Sublateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBR,SMBDL,SMB,AIB,Taxis,Sublateral,3,3,1,1,0,0,0,0,1,0,0,0,0
SMBDL,SIBDR,SMB,SIB,Sublateral,Sublateral,3,3,1,3,0,0,0,1,0,0,1,1,0
SIBDR,SMBDL,SMB,SIB,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMBDL,OLQDR,SMB,OLQ,Sublateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLQDR,SMBDL,SMB,OLQ,Anterior,Sublateral,1,3,1,3,0,0,0,0,0,1,0,2,0
SMBDL,AVKR,SMB,AVK,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKR,SMBDL,SMB,AVK,Lateral,Sublateral,3,3,1,3,0,0,0,0,0,0,1,1,1
AVDR,AVBL,AVD,AVB,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVBL,AVDR,AVD,AVB,Avoidance,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
AVDR,AVEL,AVD,AVE,Avoidance,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVEL,AVDR,AVD,AVE,Anterior,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAR,SMDDL,AVA,SMD,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDDL,AVAR,AVA,SMD,Lateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAR,BAGL,AVA,BAG,Unclassified,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
BAGL,AVAR,AVA,BAG,Taxis,Unclassified,1,3,2,9,0,0,0,0,1,2,2,2,2
